"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1455,1704.5,83.5000903392715,4451.08942645472
"2002/2003",2003,120,120,100,1499,1752.5,81.5540524878228,3824.99356682741
"2003/2004",2004,120,120,100,1681,1588.5,81.062313816422,1748.573437224
"2004/2005",2005,121,121,100,1860,1848,85.7250453406568,2653.24280253224
"2005/2006",2006,120,120,100,1644,1966,88.3034946284032,3878.54558944033
"2006/2007",2007,120,120,100,1622,1836.5,84.4595955211846,3205.57971113495
"2007/2008",2008,120,120,100,1513,1414.5,75.5320385359028,2264.93750901561
"2008/2009",2009,121,121,100,1656,1711,81.5258882069202,2511.9502863129
"2009/2010",2010,120,120,100,1674,1891,82.7329628578632,2659.27050695266
"2010/2011",2011,120,120,100,1931,1958,86.5848552608675,2352.68532318773
"2011/2012",2012,120,120,100,1805,1808.5,81.7650463319478,2382.854946648
"2012/2013",2013,121,121,100,1488,1610,83.6951994085039,2918.16323073453
"2013/2014",2014,120,120,100,1605,1586,80.7202883096545,2101.07903000794
"2014/2015",2015,120,120,100,928,919,65.1040655110937,4093.55869111361
"2015/2016",2016,120,120,100,1691,1792,83.7364298859275,3199.3515100833
"2016/2017",2017,121,121,100,1380,1469.5,78.3354650178353,4464.27722677996
"2017/2018",2018,120,120,100,1346,1416.5,75.2935734446719,3857.60740820179
"2018/2019",2019,120,120,100,1442,1271.5,71.0262442985249,2533.07534629921
"2019/2020",2020,120,120,100,1463,1605.5,82.4761277531743,3912.05791391013
"2020/2021",2021,121,121,100,1631,1866.5,86.7567176598218,4266.60528999497
"2021/2022",2022,120,120,100,1323,1201.5,73.4936226756336,2338.95144290267
"2022/2023",2023,120,120,100,1442,1356.5,76.1133669250989,3852.80867374735
"2023/2024",2024,120,120,100,1683,1893,87.2191456968749,3664.13651851448
"2024/2025",2025,121,121,100,1649,1888,89.5971024768596,3236.51771354652
"2025/2026",2026,120,120,100,1706,1757,84.8266348696779,3084.67443368118
"2026/2027",2027,120,120,100,1334,1239,72.5416939652832,1361.56249174336
"2027/2028",2028,120,120,100,1583,1632,81.8048804176988,3035.39904883457
"2028/2029",2029,121,121,100,1696,1616.5,83.8395921074452,2119.98674397403
"2029/2030",2030,120,120,100,1510,1614,81.2253938143458,2680.8630788275
"2030/2031",2031,120,120,100,1485,1732.5,86.5396873864838,3552.47288506827
"2031/2032",2032,120,120,100,1524,1531,78.5244336858432,2868.7405370546
"2032/2033",2033,121,121,100,1678,1782.5,82.7253412013542,2746.39632940642
"2033/2034",2034,120,120,100,1599,1538,82.1971810695832,1886.69240741199
"2034/2035",2035,120,120,100,1395,1269.5,74.6336697118277,2477.24564365717
"2035/2036",2036,120,120,100,1525,1537.5,81.4810964245453,3326.08357107965
"2036/2037",2037,121,121,100,1487,1762,84.4065743658603,3338.14405744476
"2037/2038",2038,120,120,100,1586,1345.5,77.4411369104855,1570.04478147579
"2038/2039",2039,120,120,100,1558,1779,82.6402533978717,3933.07010689285
"2039/2040",2040,120,120,100,1565,1954.5,88.7956834004162,4642.08929263894
"2040/2041",2041,121,121,100,1660,1797,85.3705341488021,3181.45669222577
"2041/2042",2042,120,120,100,1877,1872.5,84.5407778229364,1885.97898347722
"2042/2043",2043,120,120,100,1185,1802,84.0278164682359,6358.13211150467
"2043/2044",2044,120,120,100,1754,1499.5,80.2968141412121,1436.4759022193
