"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2071/2072",2072,120,120,100,1584,1403,76.7326253652445,1660.04310701368
"2072/2073",2073,121,121,100,1321,1377.5,80.4242007350367,2998.87476436375
"2073/2074",2074,120,120,100,1664,1752.5,81.0580533864049,2747.53592718951
"2074/2075",2075,120,120,100,1231,1114,68.2240199809657,4134.22153281374
"2075/2076",2076,120,120,100,1415,1548,79.2866565430286,2884.64500713069
"2076/2077",2077,121,121,100,1751,1742.5,85.7141546654948,2676.47727989918
"2077/2078",2078,120,120,100,1410,1130.5,72.4908518296324,947.90600654576
"2078/2079",2079,120,120,100,1597,1338,71.3715945643999,740.105733766686
"2079/2080",2080,120,120,100,1746,1556,81.2582084464157,1707.08906637272
"2080/2081",2081,121,121,100,1656,1613.5,83.0230747618498,2480.2991951406
"2081/2082",2082,120,120,100,1512,1517,75.9767974463975,2709.22054814268
"2082/2083",2083,120,120,100,1541,1439.5,78.8123166565874,2437.98425670341
"2083/2084",2084,120,120,100,1535,1628.5,81.1406328928915,3207.01647354756
"2084/2085",2085,121,121,100,1481,1152.5,72.5952412311563,1041.76249527466
"2085/2086",2086,120,120,100,1503,1467,76.2131141618338,1640.23140364792
"2086/2087",2087,120,120,100,1403,1247,72.9656655473937,2086.84957306553
"2087/2088",2088,120,120,100,1674,1398.5,77.1557989630928,1508.86626249738
"2088/2089",2089,121,121,100,1386,1312.5,75.6756427488053,2501.99801220465
"2089/2090",2090,120,120,100,1570,1462.5,80.5092211720148,1455.20638357103
"2090/2091",2091,120,120,100,1466,1134.5,73.3443436496564,886.071202898398
"2091/2092",2092,120,120,100,1327,1232.5,74.636752570208,1708.86135410797
"2092/2093",2093,121,121,100,1457,1237,74.6724870558046,1149.20271913428
"2093/2094",2094,120,120,100,1421,1462,79.5498326662691,2826.87950144429
"2094/2095",2095,120,120,100,1310,1402,76.6663535354419,2374.0981694255
"2095/2096",2096,120,120,100,1589,1465.5,81.4498257924388,1766.53109627124
"2096/2097",2097,121,121,100,1453,1426,78.5375307417326,4253.96128437482
"2097/2098",2098,120,120,100,1199,1136.5,73.6861970843311,3851.93472888507
"2098/2099",2099,120,120,100,1309,1322,74.2730555116632,1974.57840594463
"2099/2100",2100,120,120,100,1431,1343.5,75.9019834249884,2186.17998260632
"2100/2101",2101,120,61,50.8333333333333,968,1058,45.5168676408503,1909.18834958412
