"","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","YEARMODA","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
"48",1973-02-17 12:00:00,1973-02-17 12:00:00,1973,2,17,-4,3,0.056,2.032,19730217,"original","original",FALSE,FALSE
"49",1973-02-18 12:00:00,1973-02-18 12:00:00,1973,2,18,1,2,1.389,6.604,19730218,"original","original",FALSE,FALSE
"50",1973-02-19 12:00:00,1973-02-19 12:00:00,1973,2,19,1,4,3,1.27,19730219,"original","original",FALSE,FALSE
"51",1973-02-20 12:00:00,1973-02-20 12:00:00,1973,2,20,2,6,4.389,0.508,19730220,"original","original",FALSE,FALSE
"52",1973-02-21 12:00:00,1973-02-21 12:00:00,1973,2,21,5,8,6.889,2.54,19730221,"original","original",FALSE,FALSE
"53",1973-02-22 12:00:00,1973-02-22 12:00:00,1973,2,22,4,8,5.222,6.096,19730222,"original","original",FALSE,FALSE
"54",1973-02-23 12:00:00,1973-02-23 12:00:00,1973,2,23,0,6,2.444,6.096,19730223,"original","original",FALSE,FALSE
"55",1973-02-24 12:00:00,1973-02-24 12:00:00,1973,2,24,-1,3,1.222,8.89,19730224,"original","original",FALSE,FALSE
"56",1973-02-25 12:00:00,1973-02-25 12:00:00,1973,2,25,-2,5,1.389,0,19730225,"original","original",FALSE,FALSE
"57",1973-02-26 12:00:00,1973-02-26 12:00:00,1973,2,26,-3,3,-0.889,1.524,19730226,"original","original",FALSE,FALSE
"58",1973-02-27 12:00:00,1973-02-27 12:00:00,1973,2,27,-4,4,-1.444,0,19730227,"original","original",FALSE,FALSE
"59",1973-02-28 12:00:00,1973-02-28 12:00:00,1973,2,28,-6,5,0.556,0.254,19730228,"original","original",FALSE,FALSE
"60",1973-03-01 12:00:00,1973-03-01 12:00:00,1973,3,1,2,9,4.278,0,19730301,"original","original",FALSE,FALSE
"61",1973-03-02 12:00:00,1973-03-02 12:00:00,1973,3,2,2,7,3.889,4.064,19730302,"original","original",FALSE,FALSE
"62",1973-03-03 12:00:00,1973-03-03 12:00:00,1973,3,3,-2,7,3.944,0,19730303,"original","original",FALSE,FALSE
"63",1973-03-04 12:00:00,1973-03-04 12:00:00,1973,3,4,5,11,7.722,6.096,19730304,"original","original",FALSE,FALSE
"64",1973-03-05 12:00:00,1973-03-05 12:00:00,1973,3,5,0,14,7.722,0,19730305,"original","original",FALSE,FALSE
"65",1973-03-06 12:00:00,1973-03-06 12:00:00,1973,3,6,3,9,7.111,0.254,19730306,"original","original",FALSE,FALSE
"66",1973-03-07 12:00:00,1973-03-07 12:00:00,1973,3,7,-2,8,3.5,5.08,19730307,"original","original",FALSE,FALSE
"67",1973-03-08 12:00:00,1973-03-08 12:00:00,1973,3,8,-3,8,3.556,0,19730308,"original","original",FALSE,FALSE
"68",1973-03-09 12:00:00,1973-03-09 12:00:00,1973,3,9,-2,10,5.444,0,19730309,"original","original",FALSE,FALSE
"69",1973-03-10 12:00:00,1973-03-10 12:00:00,1973,3,10,-5,9,1.778,0,19730310,"original","original",FALSE,FALSE
"70",1973-03-11 12:00:00,1973-03-11 12:00:00,1973,3,11,-4,3,0.944,0,19730311,"original","original",FALSE,FALSE
"71",1973-03-12 12:00:00,1973-03-12 12:00:00,1973,3,12,-1,6,3.056,0,19730312,"original","original",FALSE,FALSE
"72",1973-03-13 12:00:00,1973-03-13 12:00:00,1973,3,13,-2,7,2.611,0,19730313,"original","original",FALSE,FALSE
"73",1973-03-14 12:00:00,1973-03-14 12:00:00,1973,3,14,-5,10,1.889,0,19730314,"original","original",FALSE,FALSE
"74",1973-03-15 12:00:00,1973-03-15 12:00:00,1973,3,15,-4,9,3.222,0,19730315,"original","original",FALSE,FALSE
"75",1973-03-16 12:00:00,1973-03-16 12:00:00,1973,3,16,-4,11,2.944,0,19730316,"original","original",FALSE,FALSE
"76",1973-03-17 12:00:00,1973-03-17 12:00:00,1973,3,17,-4,7,2.278,0,19730317,"original","original",FALSE,FALSE
