"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1453,1635,83.942604962981,3528.70062935929
"2002/2003",2003,120,120,100,1596,1662.5,80.4387436023032,2942.05741832926
"2003/2004",2004,120,120,100,1615,1413.5,79.1886696551114,1396.25573355143
"2004/2005",2005,121,121,100,1822,1659.5,84.4008306279162,2080.16814204404
"2005/2006",2006,120,120,100,1634,1793,86.4129960643153,3267.12536095746
"2006/2007",2007,120,120,100,1648,1674,81.7097016733784,2629.11656583915
"2007/2008",2008,120,120,100,1425,1232,75.7466747612057,1675.27758938441
"2008/2009",2009,121,121,100,1628,1517.5,80.2541316211916,2029.45552560076
"2009/2010",2010,120,120,100,1692,1680.5,80.0012230837815,2192.05338728026
"2010/2011",2011,120,120,100,1768,1670,84.5548586877612,2065.72538750456
"2011/2012",2012,120,120,100,1796,1585,81.0644821816654,1801.63478881039
"2012/2013",2013,121,121,100,1488,1463.5,82.4513114771994,2340.00516108808
"2013/2014",2014,120,120,100,1562,1440,77.6843935799891,1680.75564970984
"2014/2015",2015,120,120,100,944,931,64.9572332713533,3155.40133018012
"2015/2016",2016,120,120,100,1713,1667.5,83.3003520292878,2386.55297707056
"2016/2017",2017,121,121,100,1327,1364.5,78.9986227647564,3724.33196520631
"2017/2018",2018,120,120,100,1320,1316.5,74.5960656740585,3008.60073407809
"2018/2019",2019,120,120,100,1346,1135,71.1147201074027,1885.959043329
"2019/2020",2020,120,120,100,1409,1511,81.4102193150738,3154.79992318619
"2020/2021",2021,121,121,100,1638,1730,86.8532632888946,3490.75505683664
"2021/2022",2022,120,120,100,1220,1064,71.0600437711769,1884.08133508707
"2022/2023",2023,120,120,100,1384,1302.5,76.7474828618515,2966.41127872793
"2023/2024",2024,120,120,100,1682,1785,84.0086926684812,2903.71657456574
"2024/2025",2025,121,121,100,1740,1749,86.0725621102429,2408.70895622368
"2025/2026",2026,120,120,100,1675,1522,80.9339419323078,2503.97455910454
"2026/2027",2027,120,120,100,1244,1086.5,71.0589869477067,1065.07336736773
