"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"2064/2065",2065,121,121,100,1232,1133,68.7624475308865,2550.90247170027,"simulated"
"2065/2066",2066,120,120,100,1351,1170,70.6092053526599,1784.85739870582,"simulated"
"2066/2067",2067,120,120,100,1711,1346,79.1710689351176,873.532547644649,"simulated"
"2067/2068",2068,120,120,100,1804,1853.5,83.9368118904251,1865.57743902443,"simulated"
"2068/2069",2069,121,121,100,1382,1182,68.6533948206801,954.386933533658,"simulated"
"2069/2070",2070,120,120,100,1748,1558,80.9525250850032,1601.24953455807,"simulated"
"2070/2071",2071,120,120,100,1515,1339.5,78.3805013464994,1711.40975918352,"simulated"
"2071/2072",2072,120,120,100,1575,1340.5,74.6519401259223,1228.1013879319,"simulated"
"2072/2073",2073,121,121,100,1561,1393,71.254975697542,1313.62081462191,"simulated"
"2073/2074",2074,120,120,100,1255,918.5,69.2562610673049,1123.48374204188,"simulated"
"2074/2075",2075,120,120,100,1619,1300.5,78.0738165052156,1290.58716428638,"simulated"
"2075/2076",2076,120,120,100,1576,1310,75.8793264094144,1011.77709861393,"simulated"
"2076/2077",2077,121,121,100,1400,1108.5,70.7074718321314,808.645754912205,"simulated"
"2077/2078",2078,120,120,100,1702,1598,82.6863117794225,2156.22046830835,"simulated"
"2078/2079",2079,120,120,100,1513,1479,78.9408579175736,2397.8207080006,"simulated"
"2079/2080",2080,120,120,100,1440,1248,76.6354245581175,1674.54124541778,"simulated"
"2080/2081",2081,121,121,100,1125,1026.5,67.4737728162627,1633.17374889487,"simulated"
"2081/2082",2082,120,120,100,1336,1195.5,71.561595912374,1340.59584517128,"simulated"
"2082/2083",2083,120,120,100,1741,1343.5,77.6681879217872,744.839699984528,"simulated"
"2083/2084",2084,120,120,100,1353,1103,73.0147312362336,1173.44134889332,"simulated"
"2084/2085",2085,121,121,100,1754,1704,84.2779540520806,2163.9685558549,"simulated"
"2085/2086",2086,120,120,100,1763,1429,77.2071634303947,1207.25911181058,"simulated"
"2086/2087",2087,120,120,100,1675,1482.5,79.910466692602,1572.78440406592,"simulated"
"2087/2088",2088,120,120,100,1682,1542,80.9475080834656,1245.45787101594,"simulated"
"2088/2089",2089,121,121,100,1558,1449.5,79.3211017990908,1846.82517479576,"simulated"
"2089/2090",2090,120,120,100,1740,1515.5,80.4268553594134,1130.54564189458,"simulated"
"2090/2091",2091,120,120,100,1709,1646,82.4561840079529,2165.12566455339,"simulated"
"2091/2092",2092,120,120,100,1627,1490,80.5445436529887,1754.64872522699,"simulated"
"2092/2093",2093,121,121,100,1744,1545,81.3444138944904,1766.82435240291,"simulated"
"2093/2094",2094,120,120,100,1544,1174.5,75.5954360758076,947.261915035979,"simulated"
"2094/2095",2095,120,120,100,1725,1481.5,78.3669406692502,1213.88324088679,"simulated"
"2095/2096",2096,120,120,100,1742,1498.5,78.9051387323778,1174.97638916805,"simulated"
"2096/2097",2097,121,121,100,1666,1081.5,73.6640010383309,356.809122475473,"simulated"
"2097/2098",2098,120,120,100,1766,1407,76.0358191580186,754.065834677312,"simulated"
"2098/2099",2099,120,120,100,1900,1584.5,81.1369004906689,1045.90008041836,"simulated"
"2099/2100",2100,120,120,100,1545,1397,78.1149993480653,1796.83858081883,"simulated"
