"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1457,1732.5,83.7475772329806,4097.84910402523
"2002/2003",2003,120,120,100,1624,1808.5,82.6266612731796,3397.77917488922
"2003/2004",2004,120,120,100,1650,1515.5,82.1657135935929,1753.42406546063
"2004/2005",2005,121,121,100,1896,1841.5,87.5438677356718,2486.08493225434
"2005/2006",2006,120,120,100,1688,1950,86.8832785649342,3709.77270900138
"2006/2007",2007,120,120,100,1676,1828,83.9026026240035,2927.47692602879
"2007/2008",2008,120,120,100,1556,1432.5,77.1245534759419,1930.746271574
"2008/2009",2009,121,121,100,1660,1707,80.9648979551664,2303.72007344116
"2009/2010",2010,120,120,100,1695,1826.5,83.6003936291177,2541.16764618468
"2010/2011",2011,120,120,100,1923,1911.5,87.4853098096924,2237.88929860818
"2011/2012",2012,120,120,100,1846,1780,83.5514303217742,2143.61149737926
"2012/2013",2013,121,121,100,1576,1625,83.3094518077789,2567.42271109973
"2013/2014",2014,120,120,100,1677,1559.5,79.2626586009728,1933.98197982425
"2014/2015",2015,120,120,100,966,968,66.7110131578297,3510.59539436898
"2015/2016",2016,120,120,100,1756,1813,84.6798586472232,2817.5679617814
"2016/2017",2017,121,121,100,1427,1494,79.5445421442555,4051.00009879214
"2017/2018",2018,120,120,100,1335,1451.5,74.772910839069,3499.73273157305
"2018/2019",2019,120,120,100,1470,1328.5,73.6252446994831,2103.57022425265
"2019/2020",2020,120,120,100,1499,1645.5,83.2939131697417,3584.34372735093
"2020/2021",2021,121,121,100,1638,1889,86.8553818826385,4045.85954441968
"2021/2022",2022,120,120,100,1367,1219,74.5039945500212,2010.26176593383
"2022/2023",2023,120,120,100,1514,1436,78.433084063865,3270.96301534679
"2023/2024",2024,120,120,100,1770,1937.5,86.3329916200914,3259.59150808072
"2024/2025",2025,121,121,100,1712,1897,87.7675426811443,2955.99470946426
"2025/2026",2026,120,120,100,1681,1676.5,83.3053186029947,3101.52752199699
"2026/2027",2027,120,120,100,1301,1211,73.1368912189528,1365.956856373
"2027/2028",2028,120,120,100,1590,1653,83.3397862291658,2716.19291337812
"2028/2029",2029,121,121,100,1725,1619.5,84.0351737401165,1872.91961298347
"2029/2030",2030,120,120,100,1568,1631.5,83.2127288383781,2294.84223309811
"2030/2031",2031,120,120,100,1513,1746.5,84.85183644877,3379.71279783733
"2031/2032",2032,120,120,100,1570,1500,78.2555095526304,2675.27884975192
"2032/2033",2033,121,121,100,1740,1802,84.6436128419718,2444.97526731319
"2033/2034",2034,120,120,100,1597,1517.5,80.5704970066572,1712.66983954306
"2034/2035",2035,120,120,100,1475,1318,75.4315800045188,2031.5450704312
"2035/2036",2036,120,120,100,1641,1553,81.1032584519289,2974.47280662367
"2036/2037",2037,121,121,100,1602,1810,86.2411188618362,2909.37472312665
"2037/2038",2038,120,120,100,1607,1330.5,77.3426777212535,1313.45397633268
"2038/2039",2039,120,120,100,1639,1800,82.5327483687488,3476.21549456101
"2039/2040",2040,120,120,100,1619,2001.5,90.4031826391547,4278.385272766
"2040/2041",2041,121,121,100,1734,1827.5,86.5707820573616,2810.56543261558
"2041/2042",2042,120,120,100,1947,1869.5,85.2470054427131,1645.21749135898
"2042/2043",2043,120,120,100,1297,1848.5,84.1627511486067,5833.7392456485
"2043/2044",2044,120,120,100,1784,1475.5,80.5727266714784,1286.34072635695
"2044/2045",2045,121,121,100,1933,1936.5,84.2628638655951,2289.92007851042
"2045/2046",2046,120,120,100,1485,1394.5,77.0727063718641,1904.17667256156
"2046/2047",2047,120,120,100,1665,1487.5,78.577248799169,2105.32567067118
