"MEIERWIK.mean_bias","MEIERWIK.stdev_bias","MEIERWIK.filled","MEIERWIK.gaps_remain","SCHLESWIG.mean_bias","SCHLESWIG.stdev_bias","SCHLESWIG.filled","SCHLESWIG.gaps_remain","HOHN.mean_bias","HOHN.stdev_bias","HOHN.filled","HOHN.gaps_remain"
1.042,1.453,130,2,1.613,1.493,0,2,2.244,2.256,0,2
-0.433,1.926,130,2,-0.681,2.038,0,2,-1.111,2.513,0,2
