"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06119099999","1995-01-01","54.85","9.9833333","19.0","KEGNAES, DA","  35.4"," 7","  33.7"," 7"," 984.3"," 7","982.6"," 7"," 10.5"," 7"," 16.3"," 7"," 20.0","999.9","  38.5","*","  33.1","*"," 0.04","F","999.9","011000"
"06119099999","1995-01-02","54.85","9.9833333","19.0","KEGNAES, DA","  33.0"," 8","  30.5"," 8","1001.7"," 8","000.0"," 8"," 12.3"," 8"," 15.5"," 8"," 22.0","999.9","  34.2"," ","  31.3"," "," 0.08","E","999.9","011000"
"06119099999","1995-01-03","54.85","9.9833333","19.0","KEGNAES, DA","  31.1"," 8","  28.7"," 8","1029.1"," 8","027.3"," 8"," 12.3"," 8","  9.6"," 8"," 15.9","999.9","  34.2","*","  28.4","*"," 0.00","D","999.9","000000"
"06119099999","1995-01-04","54.85","9.9833333","19.0","KEGNAES, DA","  30.7"," 7","  29.4"," 7","1034.4"," 7","032.6"," 7","  9.4"," 7","  9.7"," 7"," 15.9","999.9","  36.7"," ","  27.3","*"," 0.00","D","999.9","000000"
"06119099999","1995-01-05","54.85","9.9833333","19.0","KEGNAES, DA","  26.4"," 8","  24.6"," 8","1030.5"," 8","028.7"," 8","  7.5"," 8"," 22.2"," 8"," 29.9","999.9","  29.1"," ","  24.4","*"," 0.00","D","999.9","000000"
"06119099999","1995-01-06","54.85","9.9833333","19.0","KEGNAES, DA","  26.5"," 6","  24.7"," 6","1021.6"," 6","019.8"," 6","  7.4"," 6"," 21.6"," 6"," 28.0","999.9","  29.5"," ","  23.4"," "," 0.00","D","999.9","000000"
"06119099999","1995-01-07","54.85","9.9833333","19.0","KEGNAES, DA","  27.3"," 8","  24.6"," 8","1032.1"," 8","030.3"," 8","  7.2"," 8"," 10.7"," 8"," 15.9","999.9","  29.8"," ","  24.1","*"," 0.00","D","999.9","000000"
"06119099999","1995-01-08","54.85","9.9833333","19.0","KEGNAES, DA","  25.8"," 8","  24.9"," 8","1026.5"," 8","024.7"," 8","  2.7"," 8"," 16.5"," 8"," 26.0","999.9","  32.7","*","  20.1"," "," 0.02","E","999.9","010000"
"06119099999","1995-01-09","54.85","9.9833333","19.0","KEGNAES, DA","  36.9"," 8","  36.3"," 8","1010.8"," 8","009.1"," 8","  9.0"," 8"," 17.9"," 8"," 29.9","999.9","  38.8"," ","  30.9"," "," 0.00","H","999.9","010000"
"06119099999","1995-01-10","54.85","9.9833333","19.0","KEGNAES, DA","  38.2"," 7","  33.3"," 7"," 989.3"," 7","987.6"," 7"," 10.2"," 7"," 25.4"," 7"," 29.9","999.9","  41.7"," ","  35.6","*"," 0.06","F","999.9","010100"
"06119099999","1995-01-11","54.85","9.9833333","19.0","KEGNAES, DA","  35.3"," 8","  30.5"," 8"," 995.0"," 8","993.3"," 8"," 12.6"," 8"," 13.7"," 8"," 20.0","999.9","  37.8"," ","  33.8"," "," 0.00","D","999.9","000000"
