"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06119099999","1992-01-01","54.85","9.9833333","19.0","KEGNAES, DA","  42.3"," 8","  41.6"," 8","1019.6"," 8","999.9"," 0","  3.0"," 8"," 31.7"," 8"," 40.0","999.9","  45.3"," ","  38.5"," "," 0.00","E","999.9","010000"
"06119099999","1992-01-02","54.85","9.9833333","19.0","KEGNAES, DA","  45.0"," 8","  43.3"," 8","1015.2"," 8","999.9"," 0","  7.5"," 8"," 39.2"," 8"," 48.0"," 58.1","  46.0"," ","  40.6"," "," 0.01","E","999.9","010000"
"06119099999","1992-01-03","54.85","9.9833333","19.0","KEGNAES, DA","  44.2"," 8","  42.1"," 8","1011.7"," 8","999.9"," 0","  5.7"," 8"," 45.0"," 8"," 48.0"," 54.0","  46.4"," ","  42.4"," "," 0.00","D","999.9","010000"
"06119099999","1992-01-04","54.85","9.9833333","19.0","KEGNAES, DA","  42.4"," 8","  39.9"," 8","1008.7"," 8","999.9"," 0"," 11.3"," 8"," 30.9"," 8"," 48.0"," 66.0","  45.3"," ","  39.9"," "," 0.02","E","999.9","010000"
"06119099999","1992-01-05","54.85","9.9833333","19.0","KEGNAES, DA","  40.0"," 8","  38.2"," 8","1019.1"," 8","999.9"," 0","  9.9"," 8"," 11.7"," 8"," 20.0","999.9","  42.8"," ","  38.5"," "," 0.02","E","999.9","110000"
"06119099999","1992-01-06","54.85","9.9833333","19.0","KEGNAES, DA","  40.5"," 8","  39.9"," 8","1019.6"," 8","999.9"," 0","  3.8"," 8"," 14.7"," 8"," 28.0","999.9","  43.9","*","  37.8"," "," 0.00","D","999.9","110000"
"06119099999","1992-01-07","54.85","9.9833333","19.0","KEGNAES, DA","  42.4"," 8","  41.2"," 8","1013.2"," 8","999.9"," 0","  4.3"," 8"," 27.5"," 8"," 29.9","999.9","  45.0"," ","  41.0","*"," 0.00","D","999.9","000000"
"06119099999","1992-01-08","54.85","9.9833333","19.0","KEGNAES, DA","  41.1"," 8","  39.8"," 8","1004.2"," 8","999.9"," 0","  4.5"," 8"," 26.9"," 8"," 31.9","999.9","  46.0","*","  37.0"," "," 0.02","E","999.9","010000"
"06119099999","1992-01-09","54.85","9.9833333","19.0","KEGNAES, DA","  40.1"," 8","  38.5"," 8","1002.5"," 8","999.9"," 0"," 12.3"," 8"," 13.2"," 8"," 28.0","999.9","  46.4"," ","  36.0","*"," 0.14","F","999.9","010000"
"06119099999","1992-01-10","54.85","9.9833333","19.0","KEGNAES, DA","  35.3"," 8","  32.3"," 8","1024.6"," 7","999.9"," 0"," 15.1"," 8"," 11.1"," 8"," 15.9","999.9","  38.1"," ","  34.2"," "," 0.00","D","999.9","000000"
"06119099999","1992-01-11","54.85","9.9833333","19.0","KEGNAES, DA","  36.0"," 8","  34.7"," 8","1024.8"," 8","999.9"," 0","  9.4"," 8"," 21.6"," 8"," 25.1","999.9","  41.4"," ","  31.3"," "," 0.00","D","999.9","000000"
"06119099999","1992-01-12","54.85","9.9833333","19.0","KEGNAES, DA","  40.6"," 7","  38.3"," 7","1023.3"," 7","999.9"," 0","  8.3"," 7"," 13.2"," 7"," 20.0","999.9","  45.3"," ","  36.3"," "," 0.00","D","999.9","010000"
"06119099999","1992-01-13","54.85","9.9833333","19.0","KEGNAES, DA","  37.0"," 8","  36.4"," 8","1031.0"," 8","999.9"," 0","  7.5"," 8","  9.1"," 8"," 12.0","999.9","  41.0"," ","  33.1"," "," 0.00","H","999.9","010000"
"06119099999","1992-01-14","54.85","9.9833333","19.0","KEGNAES, DA","  44.3"," 8","  42.9"," 8","1023.4"," 8","999.9"," 0","  7.8"," 8"," 18.6"," 8"," 26.0","999.9","  46.8"," ","  39.6"," "," 0.02","E","999.9","010000"
"06119099999","1992-01-15","54.85","9.9833333","19.0","KEGNAES, DA","  43.9"," 7","  40.3"," 7","1025.4"," 7","999.9"," 0"," 11.2"," 7"," 18.8"," 7"," 22.0","999.9","  46.4"," ","  41.7"," "," 0.00","D","999.9","000000"
"06119099999","1992-01-16","54.85","9.9833333","19.0","KEGNAES, DA","  42.9"," 6","  39.7"," 6","1019.5"," 6","999.9"," 0"," 11.0"," 6"," 23.7"," 6"," 35.9","999.9","  45.0"," ","  41.7"," "," 0.01","E","999.9","010000"
"06119099999","1992-01-17","54.85","9.9833333","19.0","KEGNAES, DA","  38.8"," 7","  33.7"," 7","1024.8"," 7","999.9"," 0"," 12.1"," 7"," 11.5"," 7"," 15.9","999.9","  45.0"," ","  36.0","*"," 0.00","D","999.9","000000"
"06119099999","1992-01-18","54.85","9.9833333","19.0","KEGNAES, DA","  43.5"," 8","  42.1"," 8","1022.8"," 8","999.9"," 0","  7.6"," 8"," 16.4"," 8"," 22.9","999.9","  46.4"," ","  38.1"," "," 0.00","E","999.9","010000"
"06119099999","1992-01-19","54.85","9.9833333","19.0","KEGNAES, DA","  41.4"," 8","  39.6"," 8","1013.9"," 8","999.9"," 0","  5.9"," 8"," 24.6"," 8"," 42.0"," 52.1","  46.0"," ","  36.7"," "," 0.06","F","999.9","010000"
"06119099999","1992-01-20","54.85","9.9833333","19.0","KEGNAES, DA","  33.9"," 8","  27.4"," 8","1032.0"," 7","999.9"," 0"," 13.9"," 8"," 21.0"," 8"," 35.9","999.9","  36.7"," ","  31.6"," "," 0.00","E","999.9","000000"
"06119099999","1992-01-21","54.85","9.9833333","19.0","KEGNAES, DA","  28.4"," 7","  25.3"," 7","1040.2"," 7","999.9"," 0","  9.1"," 7","  8.0"," 7"," 12.0","999.9","  32.4"," ","  25.9"," "," 0.00","D","999.9","000000"
