"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06119099999","2001-01-01","54.85","9.9833333","19.0","KEGNAES, DA","  34.3"," 8","  31.3"," 8","1002.3"," 8","000.2"," 8","  6.5"," 8"," 21.1"," 8"," 28.0","999.9","  36.3","*","  29.8"," ","99.99"," ","999.9","110000"
"06119099999","2001-01-02","54.85","9.9833333","19.0","KEGNAES, DA","  39.7"," 8","  38.4"," 8"," 995.2"," 8","993.1"," 8","  5.2"," 8"," 16.2"," 8"," 20.0","999.9","  41.4"," ","  34.9"," "," 0.03","A","999.9","010000"
"06119099999","2001-01-03","54.85","9.9833333","19.0","KEGNAES, DA","  41.2"," 8","  39.6"," 8"," 998.5"," 8","996.4"," 8","  8.9"," 8"," 18.5"," 8"," 20.0","999.9","  43.5"," ","  37.8","*"," 0.04","E","999.9","010000"
"06119099999","2001-01-04","54.85","9.9833333","19.0","KEGNAES, DA","  39.1"," 8","  37.2"," 8","1000.3"," 8","998.2"," 8","  9.2"," 8"," 20.0"," 8"," 26.0","999.9","  41.0"," ","  36.7","*","99.99"," ","999.9","010000"
"06119099999","2001-01-05","54.85","9.9833333","19.0","KEGNAES, DA","  41.1"," 8","  39.6"," 8"," 991.7"," 8","989.7"," 8","  8.2"," 8"," 19.4"," 8"," 23.9","999.9","  42.8"," ","  39.6"," ","99.99"," ","999.9","010000"
"06119099999","2001-01-06","54.85","9.9833333","19.0","KEGNAES, DA","  42.2"," 8","  40.3"," 8"," 991.2"," 8","989.1"," 8","  9.2"," 8"," 21.5"," 8"," 26.0","999.9","  43.9"," ","  41.0"," "," 0.00","E","999.9","010000"
"06119099999","2001-01-07","54.85","9.9833333","19.0","KEGNAES, DA","  41.4"," 8","  39.3"," 8","1004.6"," 8","002.5"," 8","  6.9"," 8"," 22.0"," 8"," 26.0","999.9","  44.6"," ","  40.6"," ","99.99"," ","999.9","010000"
"06119099999","2001-01-08","54.85","9.9833333","19.0","KEGNAES, DA","  40.3"," 7","  38.1"," 7","1007.5"," 7","005.4"," 7","  6.6"," 7"," 21.1"," 7"," 23.9","999.9","  41.7"," ","  39.2","*"," 0.02","E","999.9","010000"
"06119099999","2001-01-09","54.85","9.9833333","19.0","KEGNAES, DA","  40.3"," 8","  38.2"," 8","1008.2"," 8","006.2"," 8"," 11.3"," 8"," 16.2"," 8"," 22.0","999.9","  42.1"," ","  38.8","*","99.99"," ","999.9","010100"
"06119099999","2001-01-10","54.85","9.9833333","19.0","KEGNAES, DA","  34.2"," 8","  31.7"," 8","1016.0"," 8","013.9"," 8"," 12.0"," 8","  7.0"," 8"," 14.0","999.9","  39.6"," ","  31.6","*"," 0.00","I","999.9","000000"
